classname,qty nonzero cols,most confused classnames,most confused scores,skewness of normalized confusion scores,accuracy,Precision,Recall,Frequency,Balanced Accuracy,index,Class Count
green mamba,6,"['smooth green snake', 'water snake', 'vine snake', 'bittern bird', 'porcupine']","[0.18, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",1.4999999999999998,0.72,0.667,0.72,0.001,0.694,64,1300
sea snake,12,"['boa constrictor', 'eel', 'ring necked snake', 'garter snake', 'water snake']","[0.04, 0.04, 0.02, 0.02, 0.02]",0.4082482904638644,0.7200000000000001,0.8,0.72,0.001,0.76,65,1300
saharan horned viper,10,"['sidewinder rattlesnake', 'night snake', 'kingsnake', 'water snake', 'boa constrictor']","[0.16, 0.06, 0.02, 0.02, 0.02]",1.2332237528390588,0.6200000000000001,0.508,0.62,0.001,0.564,66,1300
eastern diamondback rattlesnake,10,"['sidewinder rattlesnake', 'african rock python', 'alligator lizard', 'worm snake', 'eastern hog nosed snake']","[0.08, 0.04, 0.02, 0.02, 0.02]",1.1500493356615296,0.7200000000000001,0.766,0.72,0.001,0.743,67,1300
sidewinder rattlesnake,7,"['saharan horned viper', 'eastern diamondback rattlesnake', 'desert grassland whiptail lizard', 'gila monster', 'water snake']","[0.4400000000000001, 0.06, 0.02, 0.02, 0.02]",1.4680103863640876,0.4000000000000001,0.541,0.4,0.001,0.471,68,1300
trilobite,1,['centipede'],[0.02],0.0,0.98,0.942,0.98,0.001,0.961,69,1300
harvestman,5,"['barn spider', 'tick', 'ant', 'window screen', 'cardoon']","[0.02, 0.02, 0.02, 0.02, 0.02]",0.0,0.8999999999999999,0.9,0.9,0.001,0.9,70,1300
scorpion,2,"['tick', 'plate']","[0.0199999999999999, 0.0199999999999999]",0.0,0.96,0.873,0.96,0.001,0.916,71,1300
yellow garden spider,3,"['european garden spider', 'barn spider', 'harvestman']","[0.12, 0.04, 0.02]",0.5951700641394974,0.8200000000000001,0.695,0.82,0.001,0.758,72,1300
barn spider,6,"['european garden spider', 'wolf spider', 'spider web', 'harvestman', 'yellow garden spider']","[0.3, 0.08, 0.06, 0.02, 0.02]",1.3208174853541992,0.5000000000000001,0.446,0.5,0.001,0.473,73,1300
european garden spider,4,"['yellow garden spider', 'barn spider', 'leafhopper', 'spider web']","[0.2, 0.1399999999999999, 0.02, 0.02]",0.213833433033195,0.62,0.508,0.62,0.001,0.564,74,1300
southern black widow,4,"['barn spider', 'harvestman', 'scorpion', 'petri dish']","[0.04, 0.02, 0.02, 0.02]",1.1547005383792517,0.9,0.882,0.9,0.001,0.891,75,1300
tarantula,1,['wolf spider'],[0.02],0.0,0.98,0.907,0.98,0.001,0.944,76,1300
wolf spider,9,"['barn spider', 'yellow garden spider', 'european garden spider', 'tarantula', 'southern black widow']","[0.24, 0.04, 0.04, 0.04, 0.02]",1.4658627908547488,0.54,0.711,0.54,0.001,0.626,77,1300
tick,9,"['harvestman', 'scorpion', 'yellow garden spider', 'barn spider', 'isopod']","[0.04, 0.04, 0.04, 0.02, 0.02]",-0.4082482904638626,0.7600000000000002,0.844,0.76,0.001,0.802,78,1300
centipede,6,"['slug', 'tree frog', 'worm snake', 'trilobite', 'brain coral']","[0.04, 0.02, 0.02, 0.02, 0.02]",1.5000000000000009,0.86,0.896,0.86,0.001,0.878,79,1300
black grouse,4,"['ruffed grouse', 'rooster', 'ptarmigan', 'prairie grouse']","[0.04, 0.02, 0.02, 0.02]",1.1547005383792517,0.8999999999999999,0.938,0.9,0.001,0.919,80,1300
ptarmigan,5,"['ruffed grouse', 'partridge', 'echidna', 'ruddy turnstone', 'marmot']","[0.06, 0.02, 0.02, 0.02, 0.02]",1.5000000000000009,0.86,0.896,0.86,0.001,0.878,81,1300
ruffed grouse,6,"['partridge', 'hen', 'kite bird of prey', 'ptarmigan', 'prairie grouse']","[0.0599999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",1.5000000000000002,0.84,0.656,0.84,0.001,0.748,82,1300
prairie grouse,2,"['american robin', 'goose']","[0.0199999999999999, 0.0199999999999999]",0.0,0.96,0.941,0.96,0.001,0.95,83,1300
peafowl,3,"['vulture', 'common gallinule', 'suspension bridge']","[0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",0.0,0.9399999999999998,1.0,0.94,0.001,0.97,84,1300
quail,4,"['ruffed grouse', 'american robin', 'prairie grouse', 'partridge']","[0.04, 0.02, 0.02, 0.02]",1.1547005383792517,0.9,0.957,0.9,0.001,0.928,85,1300
partridge,3,"['ruffed grouse', 'ptarmigan', 'quail']","[0.18, 0.02, 0.02]",0.7071067811865481,0.7799999999999999,0.867,0.78,0.001,0.824,86,1300
african grey parrot,1,['honeycomb'],[0.02],0.0,0.98,1.0,0.98,0.001,0.99,87,1300
macaw,3,"['loggerhead sea turtle', 'mask', 'umbrella']","[0.02, 0.02, 0.02]",0.0,0.94,0.959,0.94,0.001,0.95,88,1300
sulphur crested cockatoo,3,"['kite bird of prey', 'hornbill', 'sliding door']","[0.04, 0.02, 0.02]",0.7071067811865479,0.92,0.958,0.92,0.001,0.939,89,1300
lorikeet,2,"['macaw', 'bee eater']","[0.0199999999999999, 0.0199999999999999]",0.0,0.96,0.98,0.96,0.001,0.97,90,1300
coucal,4,"['american robin', 'ptarmigan', 'jacamar', 'white headed capuchin']","[0.02, 0.02, 0.02, 0.02]",0.0,0.92,0.92,0.92,0.001,0.92,91,1300
bee eater,1,['jacamar'],[0.02],0.0,0.98,0.98,0.98,0.001,0.98,92,1300
hornbill,1,['rooster'],[0.02],0.0,0.98,0.907,0.98,0.001,0.944,93,1300
hummingbird,2,"['american robin', 'common gallinule']","[0.0199999999999999, 0.0199999999999999]",0.0,0.96,0.889,0.96,0.001,0.924,94,1300
jacamar,2,"['bulbul', 'jay']","[0.04, 0.02]",1.030425744730223e-15,0.94,0.94,0.94,0.001,0.94,95,1300
toucan,3,"['hornbill', 'golf ball', 'umbrella']","[0.04, 0.02, 0.02]",0.7071067811865479,0.9200000000000002,0.979,0.92,0.001,0.95,96,1300
duck,4,"['red breasted merganser', 'goose', 'american coot', 'dowitcher']","[0.02, 0.02, 0.02, 0.02]",0.0,0.9200000000000002,0.836,0.92,0.001,0.878,97,1300
red breasted merganser,4,"['oystercatcher', 'duck', 'goose', 'siberian husky']","[0.04, 0.02, 0.02, 0.02]",1.1547005383792517,0.8999999999999999,0.938,0.9,0.001,0.919,98,1141
goose,5,"['black swan', 'crane bird', 'duck', 'red breasted merganser', 'dust jacket']","[0.04, 0.04, 0.02, 0.02, 0.02]",0.4082482904638644,0.86,0.86,0.86,0.001,0.86,99,1300
black swan,1,['goose'],[0.02],0.0,0.98,0.925,0.98,0.001,0.952,100,1300
tusker,4,"['asian elephant', 'african bush elephant', 'langur', 'website']","[0.2799999999999999, 0.1, 0.02, 0.02]",0.8626216976570436,0.58,0.569,0.58,0.001,0.574,101,1300
echidna,0,[],[],0.0,1.0,0.962,1.0,0.001,0.981,102,1300
platypus,5,"['water snake', 'duck', 'dugong', 'giant panda', 'silver salmon']","[0.06, 0.02, 0.02, 0.02, 0.02]",1.5000000000000009,0.86,0.896,0.86,0.001,0.878,103,1272
wallaby,7,"['vulture', 'african rock python', 'coyote', 'dhole', 'beaver']","[0.02, 0.02, 0.02, 0.02, 0.02]",0.0,0.8600000000000001,0.878,0.86,0.001,0.869,104,1300
koala,4,"['tabby cat', 'howler monkey', 'geoffroys spider monkey', 'butcher shop']","[0.02, 0.02, 0.02, 0.02]",0.0,0.92,0.958,0.92,0.001,0.939,105,1300
wombat,5,"['wallaby', 'koala', 'mongoose', 'bison', 'armadillo']","[0.0599999999999999, 0.0399999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",0.8437499999999999,0.84,0.894,0.84,0.001,0.867,106,1300
jellyfish,3,"['barn', 'fountain', 'spotlight']","[0.02, 0.02, 0.02]",0.0,0.94,0.887,0.94,0.001,0.914,107,1300
sea anemone,8,"['coral reef', 'clownfish', 'jellyfish', 'starfish', 'sea urchin']","[0.08, 0.04, 0.02, 0.02, 0.02]",1.1500493356615296,0.7600000000000001,0.776,0.76,0.001,0.768,108,1300
brain coral,3,"['sea urchin', 'coral reef', 'coral fungus']","[0.02, 0.02, 0.02]",0.0,0.94,0.87,0.94,0.001,0.905,109,1300
flatworm,3,"['sea slug', 'worm snake', 'slug']","[0.04, 0.02, 0.02]",0.7071067811865479,0.92,0.958,0.92,0.001,0.939,110,1300
nematode,6,"['worm snake', 'night snake', 'fly', 'lacewing', 'fountain pen']","[0.02, 0.02, 0.02, 0.02, 0.02]",0.0,0.8800000000000002,0.957,0.88,0.001,0.918,111,1300
conch,10,"['snail', 'hermit crab', 'leatherback sea turtle', 'sea slug', 'breastplate']","[0.04, 0.04, 0.02, 0.02, 0.02]",0.4082482904638644,0.7600000000000002,0.844,0.76,0.001,0.802,112,1300
snail,6,"['slug', 'box turtle', 'chiton', 'ladybug', 'stick insect']","[0.04, 0.02, 0.02, 0.02, 0.02]",1.5000000000000009,0.8600000000000001,0.843,0.86,0.001,0.851,113,1300
slug,10,"['newt', 'worm snake', 'night snake', 'flatworm', 'snail']","[0.02, 0.02, 0.02, 0.02, 0.02]",0.0,0.8000000000000002,0.784,0.8,0.001,0.792,114,1300
sea slug,2,"['necklace', 'coral fungus']","[0.02, 0.02]",0.0,0.96,0.873,0.96,0.001,0.916,115,1300
chiton,3,"['starfish', 'hermit crab', 'sea cucumber']","[0.04, 0.02, 0.02]",0.7071067811865479,0.92,0.958,0.92,0.001,0.939,116,1300
chambered nautilus,7,"['triceratops', 'boa constrictor', 'jellyfish', 'spiral or coil', 'spatula']","[0.02, 0.02, 0.02, 0.02, 0.02]",0.0,0.86,0.977,0.86,0.001,0.918,117,1300
dungeness crab,7,"['rock crab', 'axolotl', 'chameleon', 'red king crab', 'crayfish']","[0.04, 0.02, 0.02, 0.02, 0.02]",1.5000000000000009,0.8400000000000001,0.808,0.84,0.001,0.824,118,1300
rock crab,10,"['hermit crab', 'fiddler crab', 'green iguana', 'dungeness crab', 'crayfish']","[0.0999999999999999, 0.0599999999999999, 0.0399999999999999, 0.0399999999999999, 0.0399999999999999]",1.1500493356615298,0.6199999999999999,0.608,0.62,0.001,0.614,119,1300
fiddler crab,4,"['rock crab', 'dungeness crab', 'crayfish', 'hair clip']","[0.1399999999999999, 0.04, 0.02, 0.02]",1.065949198002195,0.7799999999999999,0.867,0.78,0.001,0.824,120,1300
red king crab,7,"['dungeness crab', 'rock crab', 'american lobster', 'spiny lobster', 'isopod']","[0.04, 0.04, 0.04, 0.02, 0.02]",-0.4082482904638626,0.8,0.889,0.8,0.001,0.844,121,1300
american lobster,7,"['spiny lobster', 'crayfish', 'plate', 'scorpion', 'wolf spider']","[0.04, 0.04, 0.04, 0.02, 0.02]",-0.4082482904638626,0.8000000000000002,0.889,0.8,0.001,0.844,122,1300
spiny lobster,3,"['crayfish', 'sea cucumber', 'coral reef']","[0.0999999999999999, 0.0199999999999999, 0.0199999999999999]",0.7071067811865471,0.8599999999999999,0.827,0.86,0.001,0.843,123,1300
crayfish,11,"['spiny lobster', 'red king crab', 'goldfish', 'axolotl', 'water snake']","[0.1, 0.04, 0.02, 0.02, 0.02]",1.290994448735805,0.68,0.708,0.68,0.001,0.694,124,1300
hermit crab,3,"['red king crab', 'crayfish', 'hot dog']","[0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",0.0,0.9399999999999998,0.825,0.94,0.001,0.882,125,1300
isopod,14,"['goldfish', 'scorpion', 'southern black widow', 'centipede', 'flatworm']","[0.02, 0.02, 0.02, 0.02, 0.02]",0.0,0.7200000000000001,0.878,0.72,0.001,0.799,126,1300
white stork,3,"['black stork', 'hummingbird', 'lakeshore']","[0.04, 0.02, 0.02]",0.7071067811865479,0.92,1.0,0.92,0.001,0.96,127,1300
black stork,4,"['vulture', 'oystercatcher', 'pelican', 'indri']","[0.04, 0.02, 0.02, 0.02]",1.1547005383792517,0.8999999999999999,0.918,0.9,0.001,0.909,128,1300
spoonbill,0,[],[],0.0,1.0,0.962,1.0,0.001,0.981,129,1300
flamingo,2,"['spoonbill', 'crane bird']","[0.0199999999999999, 0.0199999999999999]",0.0,0.96,0.96,0.96,0.001,0.96,130,1300
little blue heron,5,"['great egret', 'bittern bird', 'crane bird', 'limpkin', 'pelican']","[0.06, 0.02, 0.02, 0.02, 0.02]",1.5000000000000009,0.86,0.935,0.86,0.001,0.898,131,1300
great egret,3,"['little blue heron', 'crane bird', 'lighthouse']","[0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",0.0,0.9399999999999998,0.825,0.94,0.001,0.882,132,1300
bittern bird,6,"['rooster', 'night snake', 'ruffed grouse', 'duck', 'ruddy turnstone']","[0.0199999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",0.0,0.8799999999999999,0.898,0.88,0.001,0.889,133,1300
crane bird,6,"['great egret', 'ptarmigan', 'sulphur crested cockatoo', 'black stork', 'little blue heron']","[0.12, 0.02, 0.02, 0.02, 0.02]",1.4999999999999991,0.7800000000000001,0.812,0.78,0.001,0.796,134,1300
limpkin,3,"['black stork', 'spoonbill', 'common redshank']","[0.02, 0.02, 0.02]",0.0,0.94,0.959,0.94,0.001,0.95,135,1300
common gallinule,1,['american coot'],[0.02],0.0,0.98,0.907,0.98,0.001,0.944,136,1300
american coot,5,"['duck', 'red breasted merganser', 'goose', 'common gallinule', 'killer whale']","[0.0599999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",1.5000000000000002,0.8599999999999999,0.915,0.86,0.001,0.888,137,1300
bustard,3,"['black grouse', 'porcupine', 'gazelle']","[0.02, 0.02, 0.02]",0.0,0.94,0.979,0.94,0.001,0.96,138,1300
ruddy turnstone,1,['ruffed grouse'],[0.02],0.0,0.98,0.891,0.98,0.001,0.936,139,1300
dunlin,5,"['ruddy turnstone', 'junco', 'sea snake', 'dowitcher', 'oystercatcher']","[0.04, 0.02, 0.02, 0.02, 0.02]",1.5000000000000009,0.8800000000000002,0.898,0.88,0.001,0.889,140,1300
common redshank,4,"['dowitcher', 'vulture', 'hummingbird', 'ruddy turnstone']","[0.04, 0.02, 0.02, 0.02]",1.1547005383792517,0.9,0.978,0.9,0.001,0.939,141,1300
dowitcher,2,"['dunlin', 'ruddy turnstone']","[0.06, 0.02]",0.0,0.92,0.902,0.92,0.001,0.911,142,1300
oystercatcher,2,"['crane bird', 'pelican']","[0.0199999999999999, 0.0199999999999999]",0.0,0.96,0.906,0.96,0.001,0.933,143,1300
pelican,4,"['kite bird of prey', 'black swan', 'great egret', 'albatross']","[0.02, 0.02, 0.02, 0.02]",0.0,0.92,0.868,0.92,0.001,0.894,144,1300
king penguin,2,"['sandbar', 'toilet paper']","[0.02, 0.02]",0.0,0.96,0.98,0.96,0.001,0.97,145,1300
albatross,5,"['goose', 'black swan', 'bittern bird', 'oystercatcher', 'pelican']","[0.02, 0.02, 0.02, 0.02, 0.02]",0.0,0.9,0.978,0.9,0.001,0.939,146,1300
