classname,qty nonzero cols,most confused classnames,most confused scores,skewness of normalized confusion scores,accuracy,Precision,Recall,Frequency,Balanced Accuracy,index,Class Count
bald eagle,3,"['kite bird of prey', 'vulture', 'black swan']","[0.02, 0.02, 0.02]",0.0,0.94,0.887,0.94,0.001,0.914,22,818
vulture,5,"['ostrich', 'kite bird of prey', 'coucal', 'llama', 'patas monkey']","[0.02, 0.02, 0.02, 0.02, 0.02]",0.0,0.9,0.763,0.9,0.001,0.832,23,925
great grey owl,3,"['bald eagle', 'ruffed grouse', 'snowplow']","[0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",0.0,0.9399999999999998,0.922,0.94,0.001,0.931,24,847
fire salamander,3,"['spotted salamander', 'fig', 'coral reef']","[0.06, 0.02, 0.02]",0.7071067811865476,0.9,0.918,0.9,0.001,0.909,25,834
smooth newt,13,"['newt', 'spotted salamander', 'fire salamander', 'tailed frog', 'banded gecko']","[0.12, 0.12, 0.04, 0.02, 0.02]",0.3365218792190072,0.52,0.433,0.52,0.001,0.477,26,1071
newt,6,"['smooth newt', 'slug', 'cockroach', 'porcupine', 'bottle cap']","[0.2999999999999999, 0.02, 0.02, 0.02, 0.02]",1.4999999999999996,0.5999999999999999,0.811,0.6,0.001,0.706,27,1002
spotted salamander,9,"['electric ray', 'smooth newt', 'fire salamander', 'mud turtle', 'terrapin']","[0.04, 0.04, 0.02, 0.02, 0.02]",0.4082482904638644,0.7799999999999999,0.765,0.78,0.001,0.772,28,932
axolotl,6,"['smooth newt', 'gila monster', 'saharan horned viper', 'scorpion', 'platypus']","[0.02, 0.02, 0.02, 0.02, 0.02]",0.0,0.88,0.917,0.88,0.001,0.899,29,1043
american bullfrog,12,"['tailed frog', 'water snake', 'mud turtle', 'terrapin', 'box turtle']","[0.1399999999999999, 0.04, 0.02, 0.02, 0.02]",1.4035141563500906,0.6200000000000001,0.738,0.62,0.001,0.679,30,858
tree frog,8,"['tailed frog', 'american bullfrog', 'goldfish', 'banded gecko', 'carolina anole']","[0.3399999999999999, 0.0599999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",1.4451375710458838,0.4799999999999999,0.774,0.48,0.001,0.627,31,783
tailed frog,14,"['american bullfrog', 'smooth newt', 'tree frog', 'spotted salamander', 'terrapin']","[0.12, 0.1, 0.1, 0.02, 0.02]",-0.3169627324056572,0.4599999999999999,0.451,0.46,0.001,0.456,32,888
loggerhead sea turtle,14,"['terrapin', 'leatherback sea turtle', 'scuba diver', 'great white shark', 'stingray']","[0.06, 0.04, 0.04, 0.02, 0.02]",0.3436215967445453,0.64,0.653,0.64,0.001,0.647,33,896
leatherback sea turtle,22,"['loggerhead sea turtle', 'great white shark', 'electric ray', 'mud turtle', 'terrapin']","[0.1, 0.02, 0.02, 0.02, 0.02]",1.4999999999999996,0.48,0.774,0.48,0.001,0.627,34,960
mud turtle,10,"['box turtle', 'terrapin', 'water snake', 'tree frog', 'chameleon']","[0.2199999999999999, 0.18, 0.0399999999999999, 0.0199999999999999, 0.0199999999999999]",0.4520320786012496,0.42,0.538,0.42,0.001,0.479,35,907
terrapin,7,"['box turtle', 'mud turtle', 'loggerhead sea turtle', 'green iguana', 'dungeness crab']","[0.3399999999999999, 0.2399999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",0.5687970690006102,0.3199999999999999,0.41,0.32,0.001,0.365,36,942
box turtle,3,"['terrapin', 'mud turtle', 'spiral or coil']","[0.06, 0.04, 0.02]",-3.4418417623860006e-16,0.88,0.537,0.88,0.002,0.708,37,903
banded gecko,8,"['smooth newt', 'agama', 'saharan horned viper', 'eastern diamondback rattlesnake', 'alligator lizard']","[0.0399999999999999, 0.0399999999999999, 0.0399999999999999, 0.0399999999999999, 0.0199999999999999]",-1.4999999999999998,0.7599999999999999,0.776,0.76,0.001,0.768,38,1034
green iguana,8,"['european green lizard', 'carolina anole', 'chameleon', 'komodo dragon', 'fiddler crab']","[0.06, 0.02, 0.02, 0.02, 0.02]",1.5000000000000009,0.8000000000000002,0.755,0.8,0.001,0.778,39,923
carolina anole,6,"['european green lizard', 'smooth newt', 'frilled necked lizard', 'vine snake', 'longhorn beetle']","[0.3400000000000001, 0.02, 0.02, 0.02, 0.02]",1.5000000000000004,0.5599999999999999,0.609,0.56,0.001,0.584,40,936
desert grassland whiptail lizard,7,"['alligator lizard', 'agama', 'frilled necked lizard', 'european green lizard', 'komodo dragon']","[0.2799999999999999, 0.02, 0.02, 0.02, 0.02]",1.499999999999999,0.5999999999999999,0.732,0.6,0.001,0.666,41,921
agama,8,"['alligator lizard', 'frilled necked lizard', 'european green lizard', 'kite bird of prey', 'spotted salamander']","[0.16, 0.08, 0.04, 0.02, 0.02]",0.959386144805026,0.62,0.756,0.62,0.001,0.688,42,1008
frilled necked lizard,12,"['tailed frog', 'banded gecko', 'green iguana', 'agama', 'chameleon']","[0.02, 0.02, 0.02, 0.02, 0.02]",0.0,0.7600000000000001,0.704,0.76,0.001,0.732,43,951
alligator lizard,19,"['desert grassland whiptail lizard', 'carolina anole', 'eastern hog nosed snake', 'smooth newt', 'box turtle']","[0.0599999999999999, 0.0399999999999999, 0.0399999999999999, 0.0199999999999999, 0.0199999999999999]",0.3436215967445454,0.5399999999999999,0.422,0.54,0.001,0.481,44,1044
gila monster,14,"['komodo dragon', 'eastern hog nosed snake', 'trilobite', 'agama', 'frilled necked lizard']","[0.08, 0.04, 0.04, 0.02, 0.02]",0.9128709291752768,0.62,0.886,0.62,0.001,0.753,45,1009
european green lizard,12,"['carolina anole', 'green iguana', 'chameleon', 'frilled necked lizard', 'alligator lizard']","[0.22, 0.08, 0.08, 0.04, 0.04]",1.2352635360105009,0.4,0.385,0.4,0.001,0.392,46,945
chameleon,11,"['agama', 'green iguana', 'swing', 'frilled necked lizard', 'alligator lizard']","[0.06, 0.04, 0.04, 0.02, 0.02]",0.3436215967445453,0.7000000000000001,0.761,0.7,0.001,0.73,47,936
komodo dragon,5,"['frilled necked lizard', 'green iguana', 'hippopotamus', 'mop', 'swing']","[0.04, 0.02, 0.02, 0.02, 0.02]",1.5000000000000009,0.88,0.772,0.88,0.001,0.826,48,874
nile crocodile,13,"['american alligator', 'loggerhead sea turtle', 'lakeshore', 'hammerhead shark', 'kite bird of prey']","[0.2, 0.04, 0.04, 0.02, 0.02]",1.4366055002620477,0.52,0.812,0.52,0.001,0.666,49,793
american alligator,12,"['nile crocodile', 'frilled necked lizard', 'axolotl', 'terrapin', 'alligator lizard']","[0.0799999999999999, 0.0399999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",1.150049335661531,0.6799999999999999,0.68,0.68,0.001,0.68,50,818
triceratops,7,"['swing', 'trilobite', 'snail', 'warthog', 'boathouse']","[0.06, 0.02, 0.02, 0.02, 0.02]",1.5000000000000009,0.8200000000000001,0.837,0.82,0.001,0.828,51,972
worm snake,12,"['ring necked snake', 'alligator lizard', 'smooth newt', 'eastern hog nosed snake', 'water snake']","[0.18, 0.0599999999999999, 0.0399999999999999, 0.0199999999999999, 0.0199999999999999]",1.2832119003429132,0.5399999999999999,0.5,0.54,0.001,0.52,52,1002
ring necked snake,12,"['water snake', 'worm snake', 'sea snake', 'smooth newt', 'eastern hog nosed snake']","[0.0799999999999999, 0.0599999999999999, 0.0399999999999999, 0.0199999999999999, 0.0199999999999999]",0.3631734744194304,0.6399999999999999,0.464,0.64,0.001,0.552,53,994
eastern hog nosed snake,12,"['saharan horned viper', 'kingsnake', 'ring necked snake', 'garter snake', 'night snake']","[0.1, 0.08, 0.06, 0.06, 0.04]",0.2715454178836392,0.4600000000000001,0.365,0.46,0.001,0.412,54,927
smooth green snake,5,"['vine snake', 'green mamba', 'european green lizard', 'water snake', 'mushroom']","[0.2, 0.18, 0.04, 0.02, 0.02]",0.4026563426231833,0.54,0.6,0.54,0.001,0.57,55,944
kingsnake,12,"['sea snake', 'ring necked snake', 'eastern hog nosed snake', 'smooth newt', 'alligator lizard']","[0.08, 0.04, 0.04, 0.02, 0.02]",0.9128709291752768,0.6600000000000001,0.75,0.66,0.001,0.705,56,909
garter snake,8,"['ring necked snake', 'water snake', 'gila monster', 'eastern hog nosed snake', 'african rock python']","[0.1, 0.06, 0.04, 0.04, 0.04]",1.1500493356615311,0.66,0.846,0.66,0.001,0.753,57,830
water snake,17,"['worm snake', 'ring necked snake', 'eastern hog nosed snake', 'night snake', 'terrapin']","[0.12, 0.1, 0.06, 0.04, 0.02]",0.1579875514375953,0.42,0.389,0.42,0.001,0.404,58,1094
vine snake,14,"['smooth green snake', 'green mamba', 'worm snake', 'water snake', 'junco']","[0.08, 0.06, 0.04, 0.04, 0.02]",0.2715454178836398,0.5800000000000001,0.569,0.58,0.001,0.574,59,1039
night snake,21,"['ring necked snake', 'eastern hog nosed snake', 'african rock python', 'boa constrictor', 'saharan horned viper']","[0.0999999999999999, 0.0999999999999999, 0.0999999999999999, 0.0799999999999999, 0.0799999999999999]",-0.4082482904638669,0.0599999999999999,0.214,0.06,0.0,0.137,60,900
boa constrictor,14,"['african rock python', 'loggerhead sea turtle', 'european green lizard', 'worm snake', 'smooth green snake']","[0.04, 0.02, 0.02, 0.02, 0.02]",1.5000000000000009,0.7,0.574,0.7,0.001,0.637,61,947
african rock python,14,"['boa constrictor', 'eastern diamondback rattlesnake', 'eastern hog nosed snake', 'indian cobra', 'sidewinder rattlesnake']","[0.32, 0.12, 0.04, 0.04, 0.04]",1.2332237528390588,0.26,0.52,0.26,0.001,0.39,62,779
indian cobra,11,"['ring necked snake', 'eastern hog nosed snake', 'water snake', 'kingsnake', 'green mamba']","[0.04, 0.04, 0.04, 0.02, 0.02]",-0.4082482904638626,0.7200000000000001,0.72,0.72,0.001,0.72,63,811
green mamba,9,"['smooth green snake', 'vine snake', 'indian cobra', 'marmoset', 'howler monkey']","[0.18, 0.12, 0.04, 0.02, 0.02]",0.6269617454490731,0.54,0.643,0.54,0.001,0.592,64,935
sea snake,14,"['ring necked snake', 'coral reef', 'eastern hog nosed snake', 'smooth green snake', 'kingsnake']","[0.06, 0.04, 0.02, 0.02, 0.02]",0.8437499999999996,0.6600000000000003,0.524,0.66,0.001,0.592,65,1203
saharan horned viper,11,"['sidewinder rattlesnake', 'eastern hog nosed snake', 'night snake', 'sea snake', 'barn spider']","[0.12, 0.1, 0.02, 0.02, 0.02]",0.4692912730377025,0.6,0.405,0.6,0.001,0.502,66,1130
eastern diamondback rattlesnake,12,"['eastern hog nosed snake', 'sidewinder rattlesnake', 'water snake', 'saharan horned viper', 'american dipper']","[0.16, 0.08, 0.04, 0.04, 0.02]",1.0038803488549692,0.52,0.565,0.52,0.001,0.542,67,902
sidewinder rattlesnake,12,"['saharan horned viper', 'eastern diamondback rattlesnake', 'worm snake', 'eastern hog nosed snake', 'komodo dragon']","[0.4799999999999999, 0.0599999999999999, 0.0399999999999999, 0.0399999999999999, 0.0199999999999999]",1.4807643990172143,0.2199999999999999,0.379,0.22,0.001,0.3,68,1064
trilobite,5,"['box turtle', 'centipede', 'brain coral', 'cliff dwelling', 'baguette']","[0.02, 0.02, 0.02, 0.02, 0.02]",0.0,0.8999999999999999,0.6,0.9,0.002,0.75,69,953
harvestman,8,"['window screen', 'centipede', 'stick insect', 'scorpion', 'bee eater']","[0.0599999999999999, 0.0399999999999999, 0.0399999999999999, 0.0199999999999999, 0.0199999999999999]",0.3436215967445454,0.7599999999999999,0.704,0.76,0.001,0.732,70,967
scorpion,6,"['trilobite', 'harvestman', 'longhorn beetle', 'ant', 'hair clip']","[0.04, 0.02, 0.02, 0.02, 0.02]",1.5000000000000009,0.8600000000000001,0.741,0.86,0.001,0.8,71,599
yellow garden spider,2,"['european garden spider', 'harvestman']","[0.16, 0.02]",2.35962852755609e-16,0.8199999999999998,0.732,0.82,0.001,0.776,72,819
barn spider,11,"['european garden spider', 'tarantula', 'spider web', 'harvestman', 'tick']","[0.24, 0.1, 0.06, 0.04, 0.04]",1.214328672295399,0.4000000000000001,0.417,0.4,0.001,0.408,73,848
european garden spider,8,"['yellow garden spider', 'barn spider', 'southern black widow', 'spider web', 'leafhopper']","[0.2199999999999999, 0.1599999999999999, 0.0399999999999999, 0.0399999999999999, 0.0199999999999999]",0.5508474735462825,0.4599999999999999,0.434,0.46,0.001,0.447,74,815
southern black widow,9,"['harvestman', 'barn spider', 'longhorn beetle', 'ant', 'scorpion']","[0.06, 0.06, 0.06, 0.04, 0.02]",-0.8437500000000006,0.6800000000000002,0.829,0.68,0.001,0.754,75,693
tarantula,3,"['southern black widow', 'fiddler crab', 'pajamas']","[0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",0.0,0.9399999999999998,0.723,0.94,0.001,0.831,76,754
wolf spider,11,"['barn spider', 'tarantula', 'harvestman', 'european garden spider', 'stick insect']","[0.22, 0.18, 0.06, 0.06, 0.06]",0.5071295169770312,0.2799999999999999,0.737,0.28,0.0,0.508,77,705
tick,12,"['scorpion', 'yellow garden spider', 'ground beetle', 'southern black widow', 'chambered nautilus']","[0.06, 0.04, 0.04, 0.02, 0.02]",0.3436215967445453,0.68,0.739,0.68,0.001,0.71,78,721
centipede,14,"['isopod', 'water snake', 'sea cucumber', 'lionfish', 'banded gecko']","[0.06, 0.04, 0.04, 0.04, 0.02]",3.4285483091569353e-16,0.62,0.66,0.62,0.001,0.64,79,803
black grouse,5,"['ruffed grouse', 'rooster', 'hen', 'vulture', 'ptarmigan']","[0.04, 0.02, 0.02, 0.02, 0.02]",1.5000000000000009,0.88,0.917,0.88,0.001,0.899,80,1192
ptarmigan,13,"['ruffed grouse', 'trilobite', 'prairie grouse', 'quail', 'partridge']","[0.04, 0.02, 0.02, 0.02, 0.02]",1.5000000000000009,0.7200000000000001,0.837,0.72,0.001,0.778,81,1134
ruffed grouse,10,"['quail', 'partridge', 'brambling', 'american robin', 'kite bird of prey']","[0.0599999999999999, 0.0599999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",0.4082482904638634,0.72,0.706,0.72,0.001,0.713,82,1378
prairie grouse,4,"['bustard', 'ptarmigan', 'crane bird', 'hare']","[0.04, 0.02, 0.02, 0.02]",1.1547005383792517,0.8999999999999999,0.9,0.9,0.001,0.9,83,1107
peafowl,7,"['vulture', 'sulphur crested cockatoo', 'bee eater', 'common gallinule', 'cougar']","[0.0199999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",0.0,0.8599999999999999,0.896,0.86,0.001,0.878,84,876
quail,4,"['partridge', 'ruffed grouse', 'snail', 'brittany dog']","[0.04, 0.02, 0.02, 0.02]",1.1547005383792517,0.9,0.763,0.9,0.001,0.832,85,1208
partridge,6,"['ruffed grouse', 'ptarmigan', 'quail', 'american dipper', 'vulture']","[0.1, 0.08, 0.06, 0.02, 0.02]",0.0351562500000011,0.7000000000000001,0.854,0.7,0.001,0.777,86,1361
african grey parrot,4,"['honeycomb', 'paintbrush', 'paper towel', 'swing']","[0.02, 0.02, 0.02, 0.02]",0.0,0.92,0.821,0.92,0.001,0.87,87,1084
macaw,5,"['kite bird of prey', 'sea anemone', 'fountain', 'swing', 'wool']","[0.02, 0.02, 0.02, 0.02, 0.02]",0.0,0.9,0.978,0.9,0.001,0.939,88,874
sulphur crested cockatoo,7,"['magpie', 'african grey parrot', 'toucan', 'wallaby', 'pelican']","[0.02, 0.02, 0.02, 0.02, 0.02]",0.0,0.86,0.896,0.86,0.001,0.878,89,962
lorikeet,1,['macaw'],[0.02],0.0,0.98,0.907,0.98,0.001,0.944,90,815
coucal,7,"['american robin', 'sulphur crested cockatoo', 'hornbill', 'jacamar', 'common gallinule']","[0.0199999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",0.0,0.8599999999999999,0.827,0.86,0.001,0.843,91,1217
bee eater,2,"['lorikeet', 'jacamar']","[0.0199999999999999, 0.0199999999999999]",0.0,0.96,0.96,0.96,0.001,0.96,92,963
hornbill,7,"['toucan', 'vulture', 'coucal', 'jellyfish', 'black stork']","[0.0399999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",1.4999999999999984,0.8399999999999999,0.875,0.84,0.001,0.857,93,978
hummingbird,4,"['jacamar', 'indigo bunting', 'prairie grouse', 'unicycle']","[0.04, 0.02, 0.02, 0.02]",1.1547005383792517,0.8999999999999999,0.865,0.9,0.001,0.883,94,879
jacamar,4,"['bulbul', 'hummingbird', 'goldfinch', 'house finch']","[0.0599999999999999, 0.0599999999999999, 0.0199999999999999, 0.0199999999999999]",3.330669073875446e-16,0.84,0.894,0.84,0.001,0.867,95,885
toucan,4,"['hornbill', 'jigsaw puzzle', 'rifle', 'window screen']","[0.04, 0.02, 0.02, 0.02]",1.1547005383792517,0.9,0.918,0.9,0.001,0.909,96,905
duck,9,"['prairie grouse', 'african grey parrot', 'red breasted merganser', 'spoonbill', 'common gallinule']","[0.02, 0.02, 0.02, 0.02, 0.02]",0.0,0.8200000000000001,0.837,0.82,0.001,0.828,97,829
red breasted merganser,7,"['duck', 'american coot', 'nile crocodile', 'goose', 'black stork']","[0.0599999999999999, 0.0399999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",0.8437499999999999,0.7999999999999998,0.851,0.8,0.001,0.826,98,1027
goose,19,"['american coot', 'albatross', 'black swan', 'spoonbill', 'crane bird']","[0.08, 0.06, 0.04, 0.04, 0.04]",0.8437499999999998,0.44,0.88,0.44,0.001,0.66,99,789
black swan,1,['pelican'],[0.02],0.0,0.98,0.875,0.98,0.001,0.928,100,900
tusker,6,"['asian elephant', 'african bush elephant', 'chain mail', 'limpkin', 'boxer']","[0.62, 0.26, 0.04, 0.02, 0.02]",1.0359766514544078,0.02,1.0,0.02,0.0,0.51,101,812
echidna,1,['red fox'],[0.02],0.0,0.98,0.942,0.98,0.001,0.961,102,960
platypus,22,"['otter', 'water snake', 'beaver', 'electric ray', 'stingray']","[0.0599999999999999, 0.0399999999999999, 0.0399999999999999, 0.0199999999999999, 0.0199999999999999]",0.3436215967445454,0.4799999999999999,0.511,0.48,0.001,0.496,103,1256
wallaby,11,"['vulture', 'indian cobra', 'wombat', 'king penguin', 'newfoundland dog']","[0.02, 0.02, 0.02, 0.02, 0.02]",0.0,0.7799999999999999,0.684,0.78,0.001,0.732,104,1021
koala,9,"['porcupine', 'gibbon', 'macaque', 'mongoose', 'marmoset']","[0.0399999999999999, 0.0399999999999999, 0.0399999999999999, 0.0199999999999999, 0.0199999999999999]",-0.4082482904638636,0.7599999999999999,0.864,0.76,0.001,0.812,105,815
wombat,11,"['koala', 'wallaby', 'prairie grouse', 'australian kelpie', 'mongoose']","[0.0599999999999999, 0.0399999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",0.8437499999999999,0.72,0.72,0.72,0.001,0.72,106,1072
jellyfish,8,"['sea cucumber', 'nematode', 'chiton', 'beer glass', 'spiral or coil']","[0.04, 0.02, 0.02, 0.02, 0.02]",1.5000000000000009,0.8200000000000001,0.788,0.82,0.001,0.804,107,967
sea anemone,12,"['sea cucumber', 'clownfish', 'coral reef', 'jellyfish', 'brain coral']","[0.06, 0.06, 0.04, 0.02, 0.02]",-4.848699518061081e-16,0.6600000000000001,0.673,0.66,0.001,0.667,108,1008
brain coral,8,"['pufferfish', 'sea anemone', 'sea slug', 'sea urchin', 'handkerchief']","[0.04, 0.02, 0.02, 0.02, 0.02]",1.5000000000000009,0.8199999999999998,0.621,0.82,0.001,0.72,109,1101
flatworm,11,"['sea slug', 'sea cucumber', 'electric ray', 'worm snake', 'vine snake']","[0.22, 0.04, 0.02, 0.02, 0.02]",1.4647502140275708,0.5599999999999999,0.718,0.56,0.001,0.639,110,1129
nematode,6,"['centipede', 'sea anemone', 'car mirror', 'scabbard', 'bubble']","[0.0199999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",0.0,0.8799999999999999,0.759,0.88,0.001,0.82,111,1118
conch,16,"['chiton', 'terrapin', 'triceratops', 'trilobite', 'jellyfish']","[0.04, 0.02, 0.02, 0.02, 0.02]",1.5000000000000009,0.66,0.6,0.66,0.001,0.63,112,1135
snail,7,"['slug', 'conch', 'rose hip', 'ladybug', 'sea cucumber']","[0.1, 0.04, 0.04, 0.02, 0.02]",1.1642636431747195,0.74,0.74,0.74,0.001,0.74,113,974
slug,22,"['desert grassland whiptail lizard', 'centipede', 'sea lion', 'spotted salamander', 'banded gecko']","[0.04, 0.04, 0.04, 0.02, 0.02]",-0.4082482904638626,0.5000000000000001,0.581,0.5,0.001,0.54,114,1090
sea slug,8,"['flatworm', 'sea cucumber', 'brain coral', 'coral reef', 'chiton']","[0.1399999999999999, 0.12, 0.04, 0.04, 0.02]",0.3877276902767251,0.5800000000000001,0.592,0.58,0.001,0.586,115,1026
chiton,12,"['meatloaf', 'trilobite', 'isopod', 'starfish', 'sea cucumber']","[0.06, 0.04, 0.04, 0.04, 0.04]",1.5000000000000022,0.62,0.689,0.62,0.001,0.654,116,1379
chambered nautilus,9,"['african rock python', 'sea urchin', 'pufferfish', 'hair dryer', 'lampshade']","[0.02, 0.02, 0.02, 0.02, 0.02]",0.0,0.8200000000000001,0.891,0.82,0.001,0.855,117,1110
dungeness crab,11,"['red king crab', 'rock crab', 'american alligator', 'fiddler crab', 'american lobster']","[0.1, 0.06, 0.02, 0.02, 0.02]",0.84375,0.6600000000000001,0.702,0.66,0.001,0.681,118,1009
rock crab,18,"['fiddler crab', 'crayfish', 'red king crab', 'hermit crab', 'green iguana']","[0.16, 0.06, 0.04, 0.04, 0.02]",1.2621071358631282,0.42,0.477,0.42,0.001,0.448,119,964
fiddler crab,4,"['rock crab', 'dungeness crab', 'smooth newt', 'hair clip']","[0.16, 0.06, 0.02, 0.02]",0.9003820431239707,0.74,0.597,0.74,0.001,0.668,120,1086
red king crab,8,"['pizza', 'dungeness crab', 'american lobster', 'crayfish', 'sea cucumber']","[0.0399999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",1.4999999999999984,0.8199999999999997,0.695,0.82,0.001,0.758,121,1007
american lobster,10,"['crayfish', 'dungeness crab', 'spiny lobster', 'rock crab', 'longhorn beetle']","[0.08, 0.04, 0.04, 0.02, 0.02]",0.9128709291752768,0.7,0.795,0.7,0.001,0.748,122,929
spiny lobster,12,"['red king crab', 'crayfish', 'sea cucumber', 'electric ray', 'brain coral']","[0.04, 0.04, 0.04, 0.02, 0.02]",-0.4082482904638626,0.7,0.761,0.7,0.001,0.73,123,957
crayfish,16,"['spiny lobster', 'dungeness crab', 'rock crab', 'american lobster', 'isopod']","[0.12, 0.06, 0.06, 0.06, 0.06]",1.5000000000000009,0.4,0.465,0.4,0.001,0.432,124,1050
hermit crab,18,"['conch', 'rock crab', 'fiddler crab', 'snail', 'crayfish']","[0.1, 0.1, 0.08, 0.04, 0.04]",-0.2115471544831132,0.38,0.731,0.38,0.001,0.556,125,1037
isopod,19,"['scorpion', 'jellyfish', 'fire salamander', 'chameleon', 'wolf spider']","[0.04, 0.04, 0.02, 0.02, 0.02]",0.4082482904638644,0.58,0.558,0.58,0.001,0.569,126,1140
