classname,qty nonzero cols,most confused classnames,most confused scores,skewness of normalized confusion scores,Accuracy,Precision,Recall,Frequency,Balanced Accuracy,index,Class Count
loggerhead sea turtle,14,"['coral reef', 'stingray', 'terrapin', 'agama', 'eastern hog nosed snake']","[0.0399999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",1.4999999999999984,0.6999999999999998,0.648,0.7,0.001,0.674,33,577
leatherback sea turtle,23,"['loggerhead sea turtle', 'coral reef', 'terrapin', 'box turtle', 'green iguana']","[0.0599999999999999, 0.0399999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",0.8437499999999999,0.4799999999999999,0.889,0.48,0.001,0.684,34,385
mud turtle,14,"['box turtle', 'terrapin', 'water snake', 'smooth newt', 'spotted salamander']","[0.24, 0.18, 0.06, 0.04, 0.04]",0.5418228971697725,0.26,0.5,0.26,0.001,0.38,35,386
terrapin,7,"['box turtle', 'mud turtle', 'loggerhead sea turtle', 'green iguana', 'dungeness crab']","[0.3399999999999999, 0.1399999999999999, 0.0399999999999999, 0.0199999999999999, 0.0199999999999999]",1.085134042607537,0.3999999999999999,0.444,0.4,0.001,0.422,36,505
box turtle,2,"['terrapin', 'mud turtle']","[0.1, 0.04]",0.0,0.86,0.544,0.86,0.002,0.702,37,538
banded gecko,15,"['tree frog', 'green iguana', 'desert grassland whiptail lizard', 'kingsnake', 'fire salamander']","[0.12, 0.04, 0.04, 0.04, 0.02]",1.304047329369509,0.54,0.844,0.54,0.001,0.692,38,340
green iguana,3,"['european green lizard', 'white headed capuchin', 'african bush elephant']","[0.08, 0.02, 0.02]",0.7071067811865475,0.88,0.389,0.88,0.002,0.635,39,1175
carolina anole,7,"['european green lizard', 'tree frog', 'green iguana', 'smooth newt', 'desert grassland whiptail lizard']","[0.36, 0.0799999999999999, 0.0599999999999999, 0.0199999999999999, 0.0199999999999999]",1.3795014409963506,0.42,0.457,0.42,0.001,0.438,40,454
desert grassland whiptail lizard,7,"['green iguana', 'agama', 'alligator lizard', 'european green lizard', 'komodo dragon']","[0.06, 0.04, 0.02, 0.02, 0.02]",0.8437499999999996,0.8,0.645,0.8,0.001,0.722,41,452
agama,15,"['green iguana', 'desert grassland whiptail lizard', 'house finch', 'spotted salamander', 'banded gecko']","[0.12, 0.08, 0.02, 0.02, 0.02]",0.6817327184847222,0.5400000000000001,0.628,0.54,0.001,0.584,42,413
frilled necked lizard,13,"['green iguana', 'tree frog', 'agama', 'tailed frog', 'desert grassland whiptail lizard']","[0.2799999999999999, 0.06, 0.06, 0.02, 0.02]",1.3756498423749264,0.4000000000000001,0.833,0.4,0.0,0.616,43,332
alligator lizard,17,"['carolina anole', 'desert grassland whiptail lizard', 'ring necked snake', 'saharan horned viper', 'smooth newt']","[0.08, 0.08, 0.04, 0.04, 0.02]",0.1111111111111111,0.5,0.714,0.5,0.001,0.607,44,375
gila monster,15,"['green iguana', 'komodo dragon', 'dough', 'stingray', 'loggerhead sea turtle']","[0.06, 0.06, 0.04, 0.02, 0.02]",-4.848699518061081e-16,0.5999999999999999,0.811,0.6,0.001,0.706,45,363
european green lizard,12,"['carolina anole', 'green iguana', 'chameleon', 'desert grassland whiptail lizard', 'frilled necked lizard']","[0.2599999999999999, 0.0999999999999999, 0.0399999999999999, 0.0199999999999999, 0.0199999999999999]",1.159942880077828,0.42,0.362,0.42,0.001,0.391,46,482
chameleon,14,"['green iguana', 'european green lizard', 'tree frog', 'agama', 'goldfinch']","[0.18, 0.1, 0.08, 0.04, 0.02]",0.6261779404026874,0.4,0.8,0.4,0.001,0.6,47,447
komodo dragon,5,"['green iguana', 'hippopotamus', 'backpack', 'fountain', 'paddle wheel']","[0.06, 0.02, 0.02, 0.02, 0.02]",1.5000000000000009,0.8600000000000001,0.782,0.86,0.001,0.821,48,494
nile crocodile,18,"['american alligator', 'green iguana', 'tailed frog', 'fiddler crab', 'oystercatcher']","[0.12, 0.06, 0.02, 0.02, 0.02]",1.0269996056981547,0.5000000000000001,0.714,0.5,0.001,0.607,49,474
american alligator,14,"['nile crocodile', 'corn', 'great white shark', 'tree frog', 'terrapin']","[0.1, 0.04, 0.02, 0.02, 0.02]",1.290994448735805,0.6200000000000001,0.689,0.62,0.001,0.654,50,505
triceratops,13,"['snail', 'pig', 'wild boar', 'hippopotamus', 'asian elephant']","[0.02, 0.02, 0.02, 0.02, 0.02]",0.0,0.74,0.949,0.74,0.001,0.844,51,494
worm snake,19,"['ring necked snake', 'alligator lizard', 'smooth newt', 'tree frog', 'kingsnake']","[0.2799999999999999, 0.0399999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",1.4791014495985368,0.3399999999999999,0.548,0.34,0.001,0.444,52,336
ring necked snake,9,"['worm snake', 'smooth newt', 'water snake', 'centipede', 'silver salmon']","[0.04, 0.02, 0.02, 0.02, 0.02]",1.5000000000000009,0.8000000000000002,0.435,0.8,0.002,0.618,53,372
eastern hog nosed snake,16,"['eastern diamondback rattlesnake', 'garter snake', 'night snake', 'ring necked snake', 'kingsnake']","[0.1, 0.08, 0.06, 0.04, 0.04]",0.3631734744194304,0.4,0.571,0.4,0.001,0.486,54,340
smooth green snake,9,"['green mamba', 'vine snake', 'carolina anole', 'european green lizard', 'garter snake']","[0.16, 0.06, 0.02, 0.02, 0.02]",1.2332237528390588,0.64,0.478,0.64,0.001,0.559,55,372
kingsnake,12,"['ring necked snake', 'indian cobra', 'nile crocodile', 'eastern hog nosed snake', 'smooth green snake']","[0.1, 0.04, 0.02, 0.02, 0.02]",1.290994448735805,0.66,0.846,0.66,0.001,0.753,56,420
garter snake,6,"['ring necked snake', 'night snake', 'desert grassland whiptail lizard', 'water snake', 'cricket insect']","[0.0599999999999999, 0.0399999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",0.8437499999999999,0.8199999999999997,0.651,0.82,0.001,0.736,57,490
water snake,20,"['ring necked snake', 'worm snake', 'slug', 'american bullfrog', 'tree frog']","[0.08, 0.04, 0.04, 0.02, 0.02]",0.9128709291752768,0.5000000000000001,0.431,0.5,0.001,0.466,58,400
vine snake,16,"['smooth green snake', 'tree frog', 'green mamba', 'garter snake', 'carolina anole']","[0.16, 0.1, 0.08, 0.04, 0.02]",0.408248290463863,0.38,0.76,0.38,0.001,0.57,59,354
night snake,23,"['boa constrictor', 'saharan horned viper', 'eastern diamondback rattlesnake', 'ring necked snake', 'eastern hog nosed snake']","[0.12, 0.1, 0.1, 0.08, 0.06]",-0.2715454178836405,0.08,0.154,0.08,0.001,0.117,60,370
boa constrictor,11,"['alligator lizard', 'ring necked snake', 'eastern hog nosed snake', 'smooth green snake', 'water snake']","[0.0199999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",0.0,0.7799999999999998,0.448,0.78,0.002,0.614,61,408
african rock python,14,"['boa constrictor', 'eastern diamondback rattlesnake', 'american alligator', 'garter snake', 'water snake']","[0.58, 0.1399999999999999, 0.02, 0.02, 0.02]",1.3435047268380678,0.04,0.2,0.04,0.0,0.12,62,372
indian cobra,13,"['ring necked snake', 'garter snake', 'night snake', 'eastern hog nosed snake', 'water snake']","[0.06, 0.04, 0.04, 0.02, 0.02]",0.3436215967445453,0.66,0.767,0.66,0.001,0.714,63,334
green mamba,10,"['smooth green snake', 'european green lizard', 'vine snake', 'howler monkey', 'birdhouse']","[0.42, 0.04, 0.04, 0.04, 0.04]",1.5000000000000002,0.32,0.516,0.32,0.001,0.418,64,384
sea snake,19,"['water snake', 'eel', 'electric ray', 'loggerhead sea turtle', 'eastern hog nosed snake']","[0.0799999999999999, 0.0399999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",1.150049335661531,0.5399999999999999,0.794,0.54,0.001,0.667,65,340
saharan horned viper,13,"['sidewinder rattlesnake', 'night snake', 'agama', 'eastern hog nosed snake', 'boa constrictor']","[0.16, 0.08, 0.06, 0.04, 0.04]",1.1210847078122883,0.44,0.333,0.44,0.001,0.386,66,340
eastern diamondback rattlesnake,15,"['water snake', 'night snake', 'eastern hog nosed snake', 'saharan horned viper', 'green iguana']","[0.06, 0.06, 0.04, 0.04, 0.02]",-0.3436215967445465,0.5800000000000001,0.509,0.58,0.001,0.544,67,378
sidewinder rattlesnake,12,"['saharan horned viper', 'night snake', 'tree frog', 'eastern diamondback rattlesnake', 'desert grassland whiptail lizard']","[0.5599999999999999, 0.1, 0.04, 0.04, 0.02]",1.438809626654792,0.1,0.294,0.1,0.0,0.197,68,326
trilobite,6,"['isopod', 'american alligator', 'tarantula', 'centipede', 'pillow']","[0.04, 0.02, 0.02, 0.02, 0.02]",1.5000000000000009,0.86,0.915,0.86,0.001,0.888,69,407
harvestman,11,"['cricket insect', 'damselfly', 'spider web', 'green iguana', 'carolina anole']","[0.04, 0.04, 0.04, 0.02, 0.02]",-0.4082482904638626,0.7200000000000001,0.9,0.72,0.001,0.81,70,353
scorpion,7,"['tick', 'wolf spider', 'isopod', 'longhorn beetle', 'cricket insect']","[0.06, 0.02, 0.02, 0.02, 0.02]",1.5000000000000009,0.8200000000000001,0.695,0.82,0.001,0.758,71,512
yellow garden spider,4,"['european garden spider', 'wolf spider', 'longhorn beetle', 'spider web']","[0.1599999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",1.154700538379252,0.7799999999999998,0.684,0.78,0.001,0.732,72,509
barn spider,8,"['european garden spider', 'wolf spider', 'tarantula', 'spider web', 'southern black widow']","[0.18, 0.16, 0.1, 0.08, 0.06]",0.2436882573654883,0.34,0.567,0.34,0.001,0.454,73,404
european garden spider,6,"['yellow garden spider', 'barn spider', 'spider web', 'wolf spider', 'weevil']","[0.22, 0.12, 0.06, 0.02, 0.02]",0.7824928170384031,0.54,0.529,0.54,0.001,0.534,74,476
southern black widow,14,"['barn spider', 'european garden spider', 'tiger beetle', 'ant', 'cricket insect']","[0.04, 0.04, 0.04, 0.04, 0.04]",0.0,0.62,0.795,0.62,0.001,0.708,75,479
tarantula,4,"['loggerhead sea turtle', 'scorpion', 'hermit crab', 'sweatshirt']","[0.0199999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",0.0,0.9199999999999998,0.597,0.92,0.002,0.758,76,704
wolf spider,11,"['tarantula', 'barn spider', 'southern black widow', 'spider web', 'harvestman']","[0.1399999999999999, 0.06, 0.06, 0.04, 0.02]",1.0013237284459195,0.5599999999999999,0.596,0.56,0.001,0.578,77,470
tick,12,"['yellow garden spider', 'scorpion', 'wolf spider', 'american lobster', 'tiger beetle']","[0.04, 0.02, 0.02, 0.02, 0.02]",1.5000000000000009,0.7400000000000001,0.685,0.74,0.001,0.712,78,410
centipede,16,"['necklace', 'smooth newt', 'tree frog', 'american alligator', 'worm snake']","[0.04, 0.02, 0.02, 0.02, 0.02]",1.5000000000000009,0.66,0.673,0.66,0.001,0.667,79,480
black grouse,6,"['ruffed grouse', 'ptarmigan', 'magpie', 'vulture', 'partridge']","[0.06, 0.04, 0.02, 0.02, 0.02]",0.8437499999999996,0.8200000000000001,0.953,0.82,0.001,0.886,80,338
ptarmigan,14,"['ruffed grouse', 'hen', 'brambling', 'junco', 'kite bird of prey']","[0.12, 0.02, 0.02, 0.02, 0.02]",1.4999999999999991,0.62,0.838,0.62,0.001,0.729,81,361
ruffed grouse,5,"['partridge', 'house finch', 'great grey owl', 'skunk', 'agaric']","[0.0399999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",1.4999999999999984,0.8799999999999999,0.579,0.88,0.002,0.73,82,502
prairie grouse,6,"['hen', 'ruffed grouse', 'partridge', 'goose', 'crane bird']","[0.0199999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",0.0,0.8799999999999998,0.917,0.88,0.001,0.899,83,384
peafowl,4,"['indigo bunting', 'kite bird of prey', 'sulphur crested cockatoo', 'necklace']","[0.0199999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",0.0,0.9199999999999998,0.868,0.92,0.001,0.894,84,1213
quail,5,"['partridge', 'house finch', 'junco', 'prairie grouse', 'ladybug']","[0.0399999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",1.4999999999999984,0.8799999999999999,0.8,0.88,0.001,0.84,85,487
partridge,8,"['ruffed grouse', 'quail', 'ptarmigan', 'junco', 'american coot']","[0.16, 0.06, 0.04, 0.02, 0.02]",1.218120864639941,0.64,0.842,0.64,0.001,0.741,86,334
african grey parrot,5,"['balance beam', 'carousel', 'fur coat', 'honeycomb', 'paper towel']","[0.02, 0.02, 0.02, 0.02, 0.02]",0.0,0.9,0.957,0.9,0.001,0.928,87,460
macaw,4,"['kite bird of prey', 'conch', 'fountain', 'necklace']","[0.02, 0.02, 0.02, 0.02]",0.0,0.92,0.979,0.92,0.001,0.95,88,1450
sulphur crested cockatoo,9,"['hen', 'kite bird of prey', 'lorikeet', 'hornbill', 'howler monkey']","[0.02, 0.02, 0.02, 0.02, 0.02]",0.0,0.8200000000000001,0.872,0.82,0.001,0.846,89,493
lorikeet,2,"['macaw', 'toucan']","[0.02, 0.02]",0.0,0.96,0.873,0.96,0.001,0.916,90,755
coucal,6,"['house finch', 'magpie', 'ruffed grouse', 'jacamar', 'american lobster']","[0.02, 0.02, 0.02, 0.02, 0.02]",0.0,0.88,0.815,0.88,0.001,0.847,91,393
bee eater,2,"['house finch', 'jacamar']","[0.0199999999999999, 0.0199999999999999]",0.0,0.96,0.98,0.96,0.001,0.97,92,504
hornbill,7,"['toucan', 'hen', 'black stork', 'flamingo', 'grey wolf']","[0.04, 0.02, 0.02, 0.02, 0.02]",1.5000000000000009,0.8400000000000001,0.808,0.84,0.001,0.824,93,616
hummingbird,7,"['jacamar', 'birdhouse', 'junco', 'indigo bunting', 'american robin']","[0.04, 0.04, 0.02, 0.02, 0.02]",0.4082482904638644,0.8200000000000001,0.932,0.82,0.001,0.876,94,830
jacamar,6,"['chickadee', 'goldfinch', 'junco', 'ruffed grouse', 'lorikeet']","[0.0399999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",1.4999999999999984,0.8599999999999999,0.878,0.86,0.001,0.869,95,352
toucan,6,"['goldfinch', 'hornbill', 'balloon', 'chain link fence', 'pirate ship']","[0.02, 0.02, 0.02, 0.02, 0.02]",0.0,0.88,0.898,0.88,0.001,0.889,96,789
duck,17,"['american coot', 'goose', 'red breasted merganser', 'hen', 'quail']","[0.1199999999999999, 0.0999999999999999, 0.0799999999999999, 0.0399999999999999, 0.0399999999999999]",0.0351562499999992,0.36,0.947,0.36,0.0,0.654,97,80
red breasted merganser,6,"['oystercatcher', 'common redshank', 'duck', 'goose', 'marmot']","[0.06, 0.04, 0.02, 0.02, 0.02]",0.8437499999999996,0.8199999999999998,0.854,0.82,0.001,0.837,98,427
goose,19,"['black swan', 'kite bird of prey', 'vulture', 'ruffed grouse', 'coucal']","[0.04, 0.02, 0.02, 0.02, 0.02]",1.5000000000000009,0.6,0.698,0.6,0.001,0.649,99,386
black swan,1,['goose'],[0.02],0.0,0.98,0.925,0.98,0.001,0.952,100,469
tusker,7,"['asian elephant', 'african bush elephant', 'hippopotamus', 'water buffalo', 'spider web']","[0.34, 0.26, 0.02, 0.02, 0.02]",0.5071295169770313,0.2999999999999999,0.6,0.3,0.001,0.45,101,401
echidna,0,[],[],0.0,1.0,0.926,1.0,0.001,0.963,102,482
platypus,16,"['otter', 'american bullfrog', 'beaver', 'hippopotamus', 'bathtub']","[0.0799999999999999, 0.0599999999999999, 0.0399999999999999, 0.0399999999999999, 0.0399999999999999]",0.8437499999999997,0.4999999999999999,0.833,0.5,0.001,0.666,103,348
wallaby,6,"['eastern diamondback rattlesnake', 'peafowl', 'bedlington terrier', 'warthog', 'fountain']","[0.0199999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",0.0,0.8799999999999999,0.436,0.88,0.002,0.658,104,926
koala,7,"['wallaby', 'great pyrenees dog', 'marmoset', 'howler monkey', 'geoffroys spider monkey']","[0.04, 0.02, 0.02, 0.02, 0.02]",1.5000000000000009,0.8400000000000001,0.84,0.84,0.001,0.84,105,777
wombat,11,"['wallaby', 'koala', 'skunk', 'eastern diamondback rattlesnake', 'coyote']","[0.08, 0.06, 0.04, 0.02, 0.02]",0.3631734744194302,0.66,0.688,0.66,0.001,0.674,106,481
jellyfish,9,"['mud turtle', 'nematode', 'chiton', 'pufferfish', 'fountain']","[0.02, 0.02, 0.02, 0.02, 0.02]",0.0,0.8200000000000001,0.911,0.82,0.001,0.865,107,746
sea anemone,11,"['clownfish', 'sea urchin', 'coral reef', 'sea cucumber', 'axolotl']","[0.2, 0.08, 0.08, 0.04, 0.02]",0.9949095260359456,0.4599999999999999,0.821,0.46,0.001,0.64,108,539
brain coral,6,"['coral reef', 'pillow', 'stingray', 'sea urchin', 'sea cucumber']","[0.06, 0.04, 0.02, 0.02, 0.02]",0.8437499999999996,0.8200000000000001,0.719,0.82,0.001,0.77,109,412
flatworm,8,"['sea slug', 'sea cucumber', 'worm snake', 'vine snake', 'rock crab']","[0.1399999999999999, 0.04, 0.02, 0.02, 0.02]",1.4035141563500906,0.7,0.686,0.7,0.001,0.693,110,404
nematode,7,"['ring necked snake', 'garter snake', 'sea urchin', 'metal nail', 'petri dish']","[0.0199999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",0.0,0.8599999999999999,0.86,0.86,0.001,0.86,111,335
conch,22,"['snail', 'hermit crab', 'chambered nautilus', 'bathtub', 'table lamp']","[0.08, 0.06, 0.04, 0.04, 0.04]",0.8437499999999998,0.4,0.667,0.4,0.001,0.534,112,457
snail,9,"['slug', 'chickadee', 'tarantula', 'isopod', 'ladybug']","[0.04, 0.02, 0.02, 0.02, 0.02]",1.5000000000000009,0.8,0.494,0.8,0.002,0.647,113,1134
slug,14,"['snail', 'backpack', 'coral fungus', 'chickadee', 'spotted salamander']","[0.12, 0.04, 0.04, 0.02, 0.02]",1.2864700617061366,0.58,0.707,0.58,0.001,0.644,114,486
sea slug,9,"['flatworm', 'sea cucumber', 'lionfish', 'sea anemone', 'eel']","[0.18, 0.1399999999999999, 0.04, 0.02, 0.02]",0.4802257805361411,0.52,0.578,0.52,0.001,0.549,115,552
chiton,14,"['snail', 'sea cucumber', 'trilobite', 'lampshade', 'tailed frog']","[0.1, 0.06, 0.04, 0.04, 0.02]",0.7500308204401289,0.5599999999999999,0.718,0.56,0.001,0.639,116,348
chambered nautilus,8,"['sea urchin', 'boa constrictor', 'sea slug', 'balloon', 'grocery store']","[0.04, 0.02, 0.02, 0.02, 0.02]",1.5000000000000009,0.8199999999999998,0.854,0.82,0.001,0.837,117,443
dungeness crab,8,"['rock crab', 'american lobster', 'horse chestnut seed', 'red king crab', 'cockroach']","[0.0599999999999999, 0.0399999999999999, 0.0399999999999999, 0.0199999999999999, 0.0199999999999999]",0.3436215967445454,0.7599999999999999,0.679,0.76,0.001,0.72,118,391
rock crab,23,"['fiddler crab', 'scorpion', 'green iguana', 'terrapin', 'boa constrictor']","[0.16, 0.08, 0.04, 0.02, 0.02]",0.959386144805026,0.32,0.552,0.32,0.001,0.436,119,451
fiddler crab,16,"['dungeness crab', 'rock crab', 'spiny lobster', 'newt', 'worm snake']","[0.08, 0.04, 0.04, 0.02, 0.02]",0.9128709291752768,0.5800000000000001,0.725,0.58,0.001,0.652,120,336
red king crab,13,"['american lobster', 'spiny lobster', 'dungeness crab', 'sea cucumber', 'tick']","[0.08, 0.08, 0.06, 0.04, 0.02]",-0.3631734744194292,0.5599999999999999,0.8,0.56,0.001,0.68,121,420
american lobster,9,"['spiny lobster', 'crayfish', 'wolf spider', 'dungeness crab', 'necklace']","[0.06, 0.06, 0.02, 0.02, 0.02]",0.4082482904638627,0.7400000000000001,0.661,0.74,0.001,0.7,122,401
spiny lobster,12,"['hermit crab', 'brain coral', 'snail', 'red king crab', 'american lobster']","[0.04, 0.02, 0.02, 0.02, 0.02]",1.5000000000000009,0.7400000000000001,0.661,0.74,0.001,0.7,123,382
crayfish,23,"['american lobster', 'spiny lobster', 'dungeness crab', 'axolotl', 'cricket insect']","[0.0999999999999999, 0.0999999999999999, 0.0799999999999999, 0.0399999999999999, 0.0399999999999999]",-0.2115471544831128,0.2799999999999999,0.483,0.28,0.001,0.382,124,410
hermit crab,12,"['snail', 'rock crab', 'mud turtle', 'worm snake', 'tick']","[0.06, 0.04, 0.02, 0.02, 0.02]",0.8437499999999996,0.7,0.714,0.7,0.001,0.707,125,485
isopod,18,"['dough', 'centipede', 'chiton', 'chameleon', 'boa constrictor']","[0.08, 0.04, 0.04, 0.02, 0.02]",0.9128709291752768,0.54,0.659,0.54,0.001,0.6,126,402
white stork,5,"['black stork', 'magpie', 'kite bird of prey', 'flamingo', 'pelican']","[0.04, 0.02, 0.02, 0.02, 0.02]",1.5000000000000009,0.88,0.83,0.88,0.001,0.855,127,510
black stork,11,"['white stork', 'limpkin', 'pelican', 'water buffalo', 'kite bird of prey']","[0.0399999999999999, 0.0399999999999999, 0.0399999999999999, 0.0399999999999999, 0.0199999999999999]",-1.4999999999999998,0.6999999999999998,0.795,0.7,0.001,0.748,128,338
